═══════════════════════════════════════════════════════════════
  APPROACH 1: Oscillation Orthogonality
  Testing: Are {k/x} approximately orthogonal on (0, 1/N)?
═══════════════════════════════════════════════════════════════

[1/4] Self-energy: ∫₀^{1/N} {k/x}² dx vs 1/(12N)

     N     k      ∫{k/x}² dx         1/(12N)       ratio
    10     2    0.0329122637    0.0083333333      3.9495
    10     3    0.0330592625    0.0083333333      3.9671
    10     5    0.0331514333    0.0083333333      3.9782
    10    10    0.0332321949    0.0083333333      3.9879
    10     5    0.0331514333    0.0083333333      3.9782
    10    10    0.0332321949    0.0083333333      3.9879

    20     2    0.0165580772    0.0041666667      3.9739
    20     3    0.0165976581    0.0041666667      3.9834
    20     5    0.0166160975    0.0041666667      3.9879
    20    10    0.0166321707    0.0041666667      3.9917
    20    10    0.0166321707    0.0041666667      3.9917
    20    20    0.0166409165    0.0041666667      3.9938

    50     2    0.0066462390    0.0016666667      3.9877
    50     3    0.0066526594    0.0016666667      3.9916
    50     5    0.0066562564    0.0016666667      3.9938
    50    10    0.0066590175    0.0016666667      3.9954
    50    25    0.0066621656    0.0016666667      3.9973
    50    50    0.0066636712    0.0016666667      3.9982

   100     2    0.0033263241    0.0008333333      3.9916
   100     3    0.0033287106    0.0008333333      3.9945
   100     5    0.0033295088    0.0008333333      3.9954
   100    10    0.0033292448    0.0008333333      3.9951
   100    50    0.0033307670    0.0008333333      3.9969
   100   100    0.0033301918    0.0008333333      3.9962

   200     2    0.0016640316    0.0004166667      3.9937
   200     3    0.0016644333    0.0004166667      3.9946
   200     5    0.0016646224    0.0004166667      3.9951
   200    10    0.0016646979    0.0004166667      3.9953
   200   100    0.0016647302    0.0004166667      3.9954
   200   200    0.0016648956    0.0004166667      3.9957

   500     2    0.0006658710    0.0001666667      3.9952
   500     3    0.0006658724    0.0001666667      3.9952
   500     5    0.0006663971    0.0001666667      3.9984
   500    10    0.0006661864    0.0001666667      3.9971
   500   250    0.0006663725    0.0001666667      3.9982
   500   500    0.0006658418    0.0001666667      3.9951

[2/4] Cross-correlations: ∫₀^{1/N} ({j/x}-½)({k/x}-½) dx

     N     j     k      cross-corr  bound C/(N·|j-k|)       ratio
   200     3     4    0.0000348175    0.0050000000      0.0070
   200     3     5    0.0000278597    0.0025000000      0.0111
   200     3     6    0.0002083756    0.0016666667      0.1250
   200     3     7    0.0000199995    0.0012500000      0.0160
   200     3     8    0.0000174438    0.0010000000      0.0174
   200     3     9    0.0001388985    0.0008333333      0.1667
   200     3    10    0.0000139257    0.0007142857      0.0195
   200     4     5    0.0000208738    0.0050000000      0.0042
   200     4     6    0.0000694542    0.0025000000      0.0278
   200     4     7    0.0000148810    0.0016666667      0.0089
   200     4     8    0.0002084125    0.0012500000      0.1667
   200     4     9    0.0000115596    0.0010000000      0.0116
   200     4    10    0.0000417242    0.0008333333      0.0501
   200     5     6    0.0000139568    0.0050000000      0.0028
   200     5     7    0.0000119839    0.0025000000      0.0048
   200     5     8    0.0000104875    0.0016666667      0.0063
   200     5     9    0.0000094544    0.0012500000      0.0076
   200     5    10    0.0002084137    0.0010000000      0.2084
   200     6     7    0.0000100232    0.0050000000      0.0020
   200     6     8    0.0000348227    0.0025000000      0.0139
   200     6     9    0.0000695255    0.0016666667      0.0417
   200     7     8    0.0000075582    0.0050000000      0.0015
   200     7     9    0.0000066630    0.0025000000      0.0027
   200     7    10    0.0000060878    0.0016666667      0.0037
   200     8     9    0.0000057817    0.0050000000      0.0012
   200     8    10    0.0000208352    0.0025000000      0.0083
   200     8    11    0.0000047556    0.0016666667      0.0029
   200     9    10    0.0000047392    0.0050000000      0.0009
   200     9    11    0.0000042249    0.0025000000      0.0017
   200     9    12    0.0000347470    0.0016666667      0.0208
   200    10    11    0.0000038067    0.0050000000      0.0008
   200    10    12    0.0000139289    0.0025000000      0.0056
   200    10    13    0.0000032520    0.0016666667      0.0020
   200    11    12    0.0000034035    0.0050000000      0.0007
   200    11    13    0.0000030265    0.0025000000      0.0012
   200    11    14    0.0000026519    0.0016666667      0.0016
   200    12    13    0.0000025214    0.0050000000      0.0005
   200    12    14    0.0000099772    0.0025000000      0.0040
   200    12    15    0.0000208516    0.0016666667      0.0125
   200    13    14    0.0000024140    0.0050000000      0.0005
   200    13    15    0.0000021483    0.0025000000      0.0009
   200    13    16    0.0000019884    0.0016666667      0.0012
   200    14    15    0.0000019678    0.0050000000      0.0004
   200    14    16    0.0000075068    0.0025000000      0.0030
   200    14    17    0.0000019647    0.0016666667      0.0012
   200    15    16    0.0000019437    0.0050000000      0.0004
   200    15    17    0.0000017293    0.0025000000      0.0007
   200    15    18    0.0000140029    0.0016666667      0.0084
   200    16    17    0.0000015129    0.0050000000      0.0003
   200    16    18    0.0000057851    0.0025000000      0.0023
   200    16    19    0.0000014720    0.0016666667      0.0009
   200    17    18    0.0000014662    0.0050000000      0.0003
   200    17    19    0.0000013417    0.0025000000      0.0005
   200    17    20    0.0000012199    0.0016666667      0.0007
   200    18    19    0.0000011997    0.0050000000      0.0002
   200    18    20    0.0000046716    0.0025000000      0.0019
   200    19    20    0.0000013385    0.0050000000      0.0003
  N=200: max |CC|/bound = 0.4167

[3/4] Comparing Gram matrices: localized vs full

  N= 10: λ_min(loc) = 0.00324068, λ_min(full) = 0.03197246, 1/(12N) = 0.00833333, loc/expected = 0.3889
  N= 20: λ_min(loc) = 0.00114304, λ_min(full) = 0.02276818, 1/(12N) = 0.00416667, loc/expected = 0.2743
  N= 40: λ_min(loc) = 0.00047189, λ_min(full) = 0.01856527, 1/(12N) = 0.00208333, loc/expected = 0.2265
  N= 80: λ_min(loc) = 0.00020717, λ_min(full) = 0.01622471, 1/(12N) = 0.00104167, loc/expected = 0.1989

[4/4] Energy decomposition: (0,1/N) + (1/N,1)

     N    λ_min(0,1/N)     λ_min(full)           ratio     1/(12N)
    10    0.0032399939    0.0319607492      9.8644  0.00833333
    20    0.0011412057    0.0227711681     19.9536  0.00416667
    30    0.0006747628    0.0198798827     29.4620  0.00277778
    50    0.0003666448    0.0179971419     49.0860  0.00166667
    80    0.0002071972    0.0162219802     78.2925  0.00104167
   100    0.0001655280    0.0162200637     97.9898  0.00083333
   150    0.0001102770    0.0162200637    147.0848  0.00055556
   200    0.0000826793    0.0162200637    196.1804  0.00041667

═══════════════════════════════════════════════════════════════
  Oscillation analysis complete.
═══════════════════════════════════════════════════════════════
